School Name,City,State,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
University of Nebraska at Omaha,Omaha,NE,Midwestern,"$41,500.00 ","$72,600.00 ","$39,500.00 ","$54,400.00 ","$97,400.00 ","$126,000.00 "
Southern Illinois University Carbondale,Carbondale,IL,Midwestern,"$43,000.00 ","$72,500.00 ","$38,300.00 ","$51,300.00 ","$99,300.00 ","$139,000.00 "
Eastern Michigan University,Ypsilanti,MI,Midwestern,"$40,300.00 ","$72,100.00 ","$37,900.00 ","$52,800.00 ","$95,400.00 ","$135,000.00 "
Bowling Green State University,Bowling Green,OH,Midwestern,"$39,800.00 ","$72,100.00 ","$38,200.00 ","$51,800.00 ","$101,000.00 ","$146,000.00 "
St. Cloud State University,St. Cloud,MN,Midwestern,"$41,800.00 ","$71,400.00 ","$38,700.00 ","$49,400.00 ","$101,000.00 ","$126,000.00 "
University of Wisconsin (UW) - Parkside,Parkside,WI,Midwestern,"$40,700.00 ","$71,400.00 ","$40,900.00 ","$53,100.00 ","$84,900.00 ","$119,000.00 "
University of Akron,Akron,OH,Midwestern,"$41,100.00 ","$70,300.00 ","$40,600.00 ","$53,300.00 ","$95,200.00 ","$127,000.00 "
Missouri State University (MSU),Springfield,MO,Midwestern,"$36,100.00 ","$69,500.00 ","$33,300.00 ","$46,900.00 ","$102,000.00 ","$134,000.00 "
University of Wisconsin (UW) - La Crosse,La Crosse,WI,Midwestern,"$42,200.00 ","$69,300.00 ","$37,500.00 ","$47,200.00 ","$93,100.00 ","$133,000.00 "
University of Wisconsin (UW) - Stout,Stout,WI,Midwestern,"$43,600.00 ","$68,300.00 ","$40,900.00 ","$50,600.00 ","$91,600.00 ","$136,000.00 "
Robert Morris College (RMC),Moon,PA,Midwestern,"$38,500.00 ","$68,200.00 ","$37,300.00 ","$47,100.00 ","$95,000.00 ","$128,000.00 "
University of Missouri - St. Louis (UMSL),St. Louis,MO,Midwestern,"$41,400.00 ","$67,100.00 ","$36,800.00 ","$49,600.00 ","$97,600.00 ","$144,000.00 "
University of Wisconsin (UW) - Oshkosh,Oshkosh,WI,Midwestern,"$39,300.00 ","$66,400.00 ","$37,700.00 ","$49,700.00 ","$90,100.00 ","$138,000.00 "
University of Missouri - Kansas City (UMKC),Kansas City,MO,Midwestern,"$38,900.00 ","$65,800.00 ","$36,300.00 ","$48,100.00 ","$95,800.00 ","$124,000.00 "
University of Wisconsin (UW) - Eau Claire,Eau Claire,WI,Midwestern,"$41,400.00 ","$64,800.00 ","$35,000.00 ","$47,300.00 ","$93,100.00 ","$125,000.00 "
