,INSTNM,CITY,STABBR
464,Santa Barbara Business College-Santa Maria,Santa Maria,California
465,Santa Barbara City College,Santa Barbara,California
466,Santa Clara University,Santa Clara,California
467,Santa Monica College,Santa Monica,California
468,Santa Rosa Junior College,Santa Rosa,California
469,Saybrook University,Oakland,California
470,Scripps College,Claremont,California
471,College of the Sequoias,Visalia,California
472,Shasta Bible College and Graduate School,Redding,California
473,Shasta College,Redding,California
474,Sierra College,Rocklin,California
475,Sierra College of Beauty,Merced,California
476,Trinity Law School,Santa Ana,California
477,Simpson University,Redding,California
478,College of the Siskiyous,Weed,California
479,Charles A Jones Career and Education Center,Sacramento,California
480,Skyline College,San Bruno,California
481,San Bernardino Valley College,San Bernardino,California
482,Saint Mary's College of California,Moraga,California
483,Solano Community College,Fairfield,California
484,Sonoma State University,Rohnert Park,California
485,South Baylo University,Anaheim,California
486,South Coast College,Orange,California
487,Vanguard University of Southern California,Costa Mesa,California
488,Concorde Career College-Garden Grove,Garden Grove,California
489,Southwestern College,Chula Vista,California
490,St John's Seminary,Camarillo,California
491,Starr King School for the Ministry,Berkeley,California
492,Marshall B Ketchum University,Fullerton,California
493,Southern California Institute of Architecture,Los Angeles,California
494,University of Southern California,Los Angeles,California
495,Southwestern Law School,Los Angeles,California
496,Taft College,Taft,California
497,Claremont School of Theology,Claremont,California
498,Thomas Aquinas College,Santa Paula,California
499,Epic Bible College,Sacramento,California
500,United Education Institute-Huntington Park Campus,Huntington Park,California
501,Concorde Career College-San Bernardino,San Bernardino,California
502,Concorde Career College-North Hollywood,North Hollywood,California
503,Ventura College,Ventura,California
504,The Santa Barbara and Ventura Colleges of Law at Ventura,Ventura,California
505,Victor Valley College,Victorville,California
506,Berkeley City College,Berkeley,California
507,Walden University,Minneapolis,Minnesota
508,Waynes College of Beauty,Salinas,California
509,West Hills College-Coalinga,Coalinga,California
510,West Los Angeles College,Culver City,California
511,West Valley College,Saratoga,California
512,Carrington College-Sacramento,Sacramento,California
513,Westminster Theological Seminary in California,Escondido,California
514,Westmont College,Santa Barbara,California
515,Whittier College,Whittier,California
516,Woodbury University,Burbank,California
517,The Wright Institute,Berkeley,California
518,Western State College of Law at Argosy University,Irvine,California
519,Thomas Jefferson School of Law,San Diego,California
520,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,California
521,Yuba College,Marysville,California
522,The Salon Professional Academy-Grand Junction,Grand Junction,Colorado
523,Adams State University,Alamosa,Colorado
524,Aims Community College,Greeley,Colorado
525,Arapahoe Community College,Littleton,Colorado
526,Bel-Rea Institute of Animal Technology,Denver,Colorado
527,Altierus Career College-Colorado Springs,Colorado Springs,Colorado
528,University of Colorado Denver/Anschutz Medical Campus,Denver,Colorado
529,University of Colorado Colorado Springs,Colorado Springs,Colorado
530,Spartan College of Aeronautics and Technology,Broomfield,Colorado
531,University of Colorado Boulder,Boulder,Colorado
532,Colorado Christian University,Lakewood,Colorado
533,Colorado College,Colorado Springs,Colorado
534,Concorde Career College-Aurora,Aurora,Colorado
535,The Art Institute of Colorado,Denver,Colorado
536,Colorado Mountain College,Glenwood Springs,Colorado
537,Colorado Northwestern Community College,Rangely,Colorado
538,Colorado School of Mines,Golden,Colorado
539,Colorado School of Trades,Lakewood,Colorado
540,Colorado State University-Fort Collins,Fort Collins,Colorado
541,Colorado Technical University-Colorado Springs,Colorado Springs,Colorado
542,Community College of Aurora,Aurora,Colorado
543,CollegeAmerica-Denver,Denver,Colorado
544,Technical College of the Rockies,Delta,Colorado
545,Community College of Denver,Denver,Colorado
546,Lincoln College of Technology-Denver,Denver,Colorado
547,Denver Seminary,Littleton,Colorado
548,University of Denver,Denver,Colorado
549,Emily Griffith Technical College,Denver,Colorado
550,Fort Lewis College,Durango,Colorado
551,Front Range Community College,Westminster,Colorado
552,Glenwood Beauty Academy,Glenwood Springs,Colorado
553,Iliff School of Theology,Denver,Colorado
554,International Salon and Spa Academy,Colorado Springs,Colorado
555,Lamar Community College,Lamar,Colorado
556,Colorado Mesa University,Grand Junction,Colorado
557,Metropolitan State University of Denver,Denver,Colorado
558,Morgan Community College,Fort  Morgan,Colorado
559,Naropa University,Boulder,Colorado
560,National American University-Colorado Springs,Colorado Springs,Colorado
561,Nazarene Bible College,Colorado Springs,Colorado
562,Northeastern Junior College,Sterling,Colorado
563,University of Northern Colorado,Greeley,Colorado
564,Otero Junior College,La Junta,Colorado
565,Altierus Career College-Thornton,Thornton,Colorado
566,Pikes Peak Community College,Colorado Springs,Colorado
567,Pueblo Community College,Pueblo,Colorado
568,Red Rocks Community College,Lakewood,Colorado
569,Regis University,Denver,Colorado
570,Rocky Mountain College of Art and Design,Lakewood,Colorado
571,Montessori Education Center of the Rockies,Boulder,Colorado
572,Colorado State University-Pueblo,Pueblo,Colorado
573,Pickens Technical College,Aurora,Colorado
574,Intellitec College-Colorado Springs,Colorado Springs,Colorado
575,Intellitec College-Grand Junction,Grand Junction,Colorado
576,Trinidad State Junior College,Trinidad,Colorado
577,United States Air Force Academy,USAF Academy,Colorado
578,Empire Beauty School-Thornton,Thornton,Colorado
579,Western State Colorado University,Gunnison,Colorado
580,Albertus Magnus College,New Haven,Connecticut
581,Paul Mitchell the School-Danbury,Danbury,Connecticut
582,Asnuntuck Community College,Enfield,Connecticut
583,Bais Binyomin Academy,Monsey,New_York
584,Branford Hall Career Institute-Branford Campus,Branford,Connecticut
585,Lincoln College of New England-Southington,Southington,Connecticut
586,University of Bridgeport,Bridgeport,Connecticut
587,Central Connecticut State University,New Britain,Connecticut
588,Charter Oak State College,New Britain,Connecticut
589,Cortiva Institute-Newington,Newington,Connecticut
590,Connecticut College,New London,Connecticut
591,Porter and Chester Institute of Branford,Branford,Connecticut
592,University of Connecticut,Storrs,Connecticut
593,Goodwin College,East Hartford,Connecticut
594,Lincoln Technical Institute-East Windsor,East Windsor,Connecticut
595,Eastern Connecticut State University,Willimantic,Connecticut
596,Fairfield University,Fairfield,Connecticut
597,Paul Mitchell the School-North Haven,North Haven,Connecticut
598,Capital Community College,Hartford,Connecticut
599,Rensselaer at Hartford,Hartford,Connecticut
600,American Institute-West Hartford,West Hartford,Connecticut
601,Hartford Seminary,Hartford,Connecticut
602,University of Hartford,West Hartford,Connecticut
603,Holy Apostles College and Seminary,Cromwell,Connecticut
604,Housatonic Community College,Bridgeport,Connecticut
605,Manchester Community College,Manchester,Connecticut
606,Naugatuck Valley Community College,Waterbury,Connecticut
607,Middlesex Community College,Middletown,Connecticut
608,Mitchell College,New London,Connecticut
609,Three Rivers Community College,Norwich,Connecticut
610,Lincoln Technical Institute-New Britain,New Britain,Connecticut
611,New England Tractor Trailer Training School of Connecticut,Somers,Connecticut
612,University of New Haven,West Haven,Connecticut
613,Norwalk Community College,Norwalk,Connecticut
614,Northwestern Connecticut Community College,Winsted,Connecticut
615,Paier College of Art Inc,Hamden,Connecticut
616,Porter and Chester Institute of Stratford,Stratford,Connecticut
617,Post University,Waterbury,Connecticut
618,Quinebaug Valley Community College,Danielson,Connecticut
619,Quinnipiac University,Hamden,Connecticut
620,Sacred Heart University,Fairfield,Connecticut
621,University of Saint Joseph,West Hartford,Connecticut
622,Gateway Community College,New Haven,Connecticut
623,St Vincent's College,Bridgeport,Connecticut
624,Southern Connecticut State University,New Haven,Connecticut
625,Stone Academy-West Haven,West Haven,Connecticut
626,Tri-State College of Acupuncture,New York,New_York
627,Trinity College,Hartford,Connecticut
628,Tunxis Community College,Farmington,Connecticut
629,United States Coast Guard Academy,New London,Connecticut
630,Wesleyan University,Middletown,Connecticut
631,Western Connecticut State University,Danbury,Connecticut
632,Yale-New Haven Hospital Dietetic Internship,New Haven,Connecticut
633,Yale University,New Haven,Connecticut
634,Margaret H Rollins School of Nursing at Beebe Medical Center,Lewes,Delaware
635,Dawn Career Institute LLC,Newark,Delaware
636,Delaware Technical Community College-Terry,Dover,Delaware
637,Delaware State University,Dover,Delaware
638,University of Delaware,Newark,Delaware
639,Goldey-Beacom College,Wilmington,Delaware
640,Schilling-Douglas School of Hair Design LLC,Newark,Delaware
641,Wesley College,Dover,Delaware
642,Wilmington University,New Castle,Delaware
643,American University,Washington,DC
644,Catholic University of America,Washington,DC
645,University of the District of Columbia,Washington,DC
646,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,Washington,DC
647,Gallaudet University,Washington,DC
648,George Washington University,Washington,DC
649,Georgetown University,Washington,DC
650,Howard University,Washington,DC
651,Strayer University-District of Columbia,Washington,DC
652,National Conservatory of Dramatic Arts,Washington,DC
653,Trinity Washington University,Washington,DC
654,Wesley Theological Seminary,Washington,DC
655,Wyotech-Daytona,Ormond Beach,Florida
656,The Art Institute of Fort Lauderdale,Fort Lauderdale,Florida
657,Atlantic Technical College,Coconut Creek,Florida
658,The Baptist College of Florida,Graceville,Florida
659,Barry University,Miami,Florida
660,Bethune-Cookman University,Daytona Beach,Florida
661,Lynn University,Boca Raton,Florida
662,North Florida Technical College,Starke,Florida
663,Eastern Florida State College,Cocoa,Florida
664,Broward College,Fort Lauderdale,Florida
665,Carlos Albizu University-Miami,Miami,Florida
666,College of Central Florida,Ocala,Florida
667,Johnson University Florida,Kissimmee,Florida
668,University of Central Florida,Orlando,Florida
669,Charlotte Technical College,Port Charlotte,Florida
670,Chipola College,Marianna,Florida
671,Lorenzo Walker Technical College,Naples,Florida
672,Daytona State College,Daytona Beach,Florida
673,South University-West Palm Beach,Royal Palm Beach,Florida
674,Eckerd College,Saint Petersburg,Florida
675,Florida SouthWestern State College,Fort Myers,Florida
676,Edward Waters College,Jacksonville,Florida
677,Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,Florida
678,Florida Agricultural and Mechanical University,Tallahassee,Florida
679,Florida Atlantic University,Boca Raton,Florida
680,Florida State College at Jacksonville,Jacksonville,Florida
681,Flagler College-St Augustine,Saint Augustine,Florida
682,Florida College,Temple Terrace,Florida
683,Concorde Career Institute-Jacksonville,Jacksonville,Florida
684,Concorde Career Institute-Miramar,Miramar,Florida
685,Concorde Career Institute-Tampa,Tampa,Florida
686,AdventHealth University,Orlando,Florida
687,Florida Institute of Technology,Melbourne,Florida
688,Florida Institute of Ultrasound Inc,Pensacola,Florida
689,Florida International University,Miami,Florida
690,Florida Keys Community College,Key West,Florida
691,Florida Memorial University,Miami Gardens,Florida
692,Florida Career College-Miami,Miami,Florida
693,Florida School of Massage,Gainesville,Florida
694,Florida Southern College,Lakeland,Florida
695,Florida State University,Tallahassee,Florida
696,Florida Technical College,Orlando,Florida
697,University of Florida,Gainesville,Florida
698,Fort Pierce Beauty Academy,Fort Pierce,Florida
699,Full Sail University,Winter Park,Florida
700,George Stone Technical College,Pensacola,Florida
701,George T Baker Aviation Technical College,Miami,Florida
702,Gulf Coast State College,Panama City,Florida
703,Key College,Fort Lauderdale,Florida
704,Hillsborough Community College,Tampa,Florida
705,Hobe Sound Bible College,Hobe Sound,Florida
706,Hollywood Institute of Beauty Careers,Hollywood,Florida
707,Cortiva Institute-Florida,St. Petersburg,Florida
708,Indian River State College,Fort Pierce,Florida
709,Sanford-Brown College-Tampa,Tampa,Florida
710,International Academy,South Daytona,Florida
711,AI Miami International University of Art and Design,Miami,Florida
712,Jacksonville University,Jacksonville,Florida
713,Keiser University-Ft Lauderdale,Fort Lauderdale,Florida
714,La Belle Beauty School,Hialeah,Florida
715,Florida Gateway College,Lake City,Florida
716,Lake Technical College,Eustis,Florida
717,Lake-Sumter State College,Leesburg,Florida
718,Fort Myers Technical College,Fort Myers,Florida
719,Lively Technical Center,Tallahassee,Florida
720,Lindsey Hopkins Technical College,Miami,Florida
721,Loraines Academy & Spa,Saint Petersburg,Florida
722,Luther Rice College & Seminary,Lithonia,Georgia
723,State College of Florida-Manatee-Sarasota,Bradenton,Florida
724,Manatee Technical College,Bradenton,Florida
725,Traviss Technical College,Lakeland,Florida
726,Merryfield School of Pet Grooming,Oakland Park,Florida
727,Trinity International University-Florida,Miami,Florida
728,Miami Lakes Educational Center and Technical College,Miami Lakes,Florida
729,Miami Dade College,Miami,Florida
730,University of Miami,Coral Gables,Florida
731,Orange Technical College-Mid Florida Campus,Orlando,Florida
732,Beauty Schools of America-Miami,Miami,Florida
733,Paul Mitchell the School-Jacksonville,Jacksonville,Florida
734,North Florida Community College,Madison,Florida
735,University of North Florida,Jacksonville,Florida
736,Nova Southeastern University,Fort Lauderdale,Florida
737,Northwest Florida State College,Niceville,Florida
738,Orange Technical College-Orlando Campus,Orlando,Florida
739,Palm Beach Atlantic University,West Palm Beach,Florida
740,Palm Beach State College,Lake Worth,Florida
741,Pasco-Hernando State College,New Port Richey,Florida
742,Pensacola State College,Pensacola,Florida
743,Pinellas Technical College-Clearwater,Clearwater,Florida
744,Polk State College,Winter Haven,Florida
745,Radford M Locklin Technical Center,Milton,Florida
746,Saint Vincent de Paul Regional Seminary,Boynton Beach,Florida
747,Ridge Technical College,Winter Haven,Florida
748,Ringling College of Art and Design,Sarasota,Florida
749,Toni & Guy Hairdressing Academy-Jacksonville,Jacksonville,Florida
750,Robert Morgan Educational Center and Technical College,Miami,Florida
751,Rollins College,Winter Park,Florida
752,First Coast Technical College,Saint Augustine,Florida
753,Saint Leo University,Saint Leo,Florida
754,St Petersburg College,Clearwater,Florida
755,Pinellas Technical College-St. Petersburg,Saint Petersburg,Florida
756,Santa Fe College,Gainesville,Florida
757,Suncoast Technical College,Sarasota,Florida
758,Argosy University-Sarasota,Sarasota,Florida
759,Seminole State College of Florida,Sanford,Florida
760,Sheridan Technical College,Hollywood,Florida
761,Saint John Vianney College Seminary,Miami,Florida
762,Saint Johns River State College,Palatka,Florida
763,South Florida State College,Avon Park,Florida
764,University of South Florida-Main Campus,Tampa,Florida
765,St. Thomas University,Miami Gardens,Florida
766,Stetson University,DeLand,Florida
767,Southeastern University,Lakeland,Florida
768,Bene's Career Academy,New Port Richey,Florida
769,Riveroak Technical College,Live Oak,Florida
770,Tallahassee Community College,Tallahassee,Florida
771,Talmudic College of Florida,Miami Beach,Florida
772,Altierus Career College-Tampa,Tampa,Florida
773,The University of Tampa,Tampa,Florida
774,Big Bend Technical College,Perry,Florida
775,Tom P Haney Technical Center,Panama City,Florida
776,Trinity Baptist College,Jacksonville,Florida
777,Trinity College of Florida,Trinity,Florida
778,Fashion Focus Hair Academy,Sarasota,Florida
779,Valencia College,Orlando,Florida
780,Warner University,Lake Wales,Florida
781,Florida Panhandle Technical College,Chipley,Florida
782,Webber International University,Babson Park,Florida
783,Rasmussen College-Florida,Ocala,Florida
784,The University of West Florida,Pensacola,Florida
785,Orange Technical College-Westside Campus,Winter Garden,Florida
786,William T McFatter Technical College,Davie,Florida
787,Orange Technical College-Winter Park Campus,Winter Park,Florida
788,Withlacoochee Technical College,Inverness,Florida
789,Abraham Baldwin Agricultural College,Tifton,Georgia
790,Agnes Scott College,Decatur,Georgia
791,Interactive College of Technology-Chamblee,Chamblee,Georgia
792,Interactive College of Technology-Morrow,Morrow,Georgia
