,INSTNM,CITY,STABBR
4041,Paul Mitchell the School-Knoxville,Knoxville,Tennessee
4042,Ogle School Hair Skin Nails-Hurst,Hurst,Texas
4043,FIDM-Fashion Institute of Design & Merchandising-San Diego,San Diego,California
4044,National American University-Albuquerque,Albuquerque,New_Mexico
4045,Tennessee College of Applied Technology Nashville,Nashville,Tennessee
4046,ECPI University,Virginia Beach,Virginia
4047,Branford Hall Career Institute-Jersey City,Jersey City,New_Jersey
4048,Paul Mitchell the School-Houston,Houston,Texas
4049,TDDS Technical Institute,Lake Milton,Ohio
4050,Fortis Institute-Forty Fort,Forty Fort,Pennsylvania
4051,Laurel Business Institute,Uniontown,Pennsylvania
4052,Aviation Institute of Maintenance-Philadelphia,Philadelphia,Pennsylvania
4053,Carrington College-Phoenix East,Phoenix,Arizona
4054,Dorsey Business Schools-Roseville,Roseville,Michigan
4055,Moler-Pickens Beauty Academy,Fairfield,Ohio
4056,Red River Technology Center,Duncan,Oklahoma
4057,Brightwood Career Institute-Harrisburg,Harrisburg,Pennsylvania
4058,Southern Union State Community College,Wadley,Alabama
4059,South University-Columbia,Columbia,South_Carolina
4060,Everest University-Brandon,Tampa,Florida
4061,Clinton Technical School,Clinton,Missouri
4062,Greene County Career and Technology Center,Waynesburg,Pennsylvania
4063,Lac Courte Oreilles Ojibwa Community College,Hayward,Wisconsin
4064,Diesel Driving Academy-Shreveport,Shreveport,Louisiana
4065,Pima Medical Institute-Mesa,Mesa,Arizona
4066,Platt College-Los Angeles,Alhambra,California
4067,Platt College-Aurora,Aurora,Colorado
4068,Purdue University Global-Davenport,Davenport,Iowa
4069,Purdue University Global-Cedar Falls,Cedar Falls,Iowa
4070,Paul Mitchell the School-Boise,Boise,Idaho
4071,Christian Life College,Mount Prospect,Illinois
4072,Educators of Beauty College of Cosmetology-Rockford,Rockford,Illinois
4073,Northwestern College-Southwestern Campus,Bridgeview,Illinois
4074,Douglas J Aveda Institute,East Lansing,Michigan
4075,Ross Medical Education Center-Brighton,Brighton,Michigan
4076,Ross Medical Education Center-Ann Arbor,Ann Arbor,Michigan
4077,Taylortown School of Beauty Inc,Taylor,Michigan
4078,Pike-Lincoln Technical Center,Eolia,Missouri
4079,Pennsylvania Institute of Health and Technology,Mount Braddock,Pennsylvania
4080,Bethel Seminary-San Diego,San Diego,California
4081,St Charles Community College,Cottleville,Missouri
4082,Brandman University,Irvine,California
4083,New College of Florida,Sarasota,Florida
4084,Montana Bible College,Bozeman,Montana
4085,Conservatory of Recording Arts and Sciences,Tempe,Arizona
4086,Adrian's College of Beauty Turlock,Turlock,California
4087,California Career School,Anaheim,California
4088,Rolf Institute of Structural Integration,Boulder,Colorado
4089,Sunstate Academy,Fort Myers,Florida
4090,Elizabeth Grady School of Esthetics and Massage Therapy,Medford,Massachusetts
4091,Ross Medical Education Center-Port Huron,Port Huron,Michigan
4092,Capri Institute of Hair Design-Clifton,Clifton,New_Jersey
4093,Raphael's School of Beauty Culture Inc-Alliance,Alliance,Ohio
4094,Metro Technology Centers,Oklahoma City,Oklahoma
4095,Hussian College-Daymar College Bowling Green,Bowling Green,Kentucky
4096,Altierus Career College Everett,Everett,Washington
4097,Luna Community College,Las Vegas,New_Mexico
4098,Grabber School of Hair Design,St. Louis,Missouri
4099,Yeshivah Gedolah Rabbinical College,Miami Beach,Florida
4100,University of the District of Columbia-David A Clarke School of Law,Washington,DC
4101,Raphael's School of Beauty Culture Inc-Brunswick,Brunswick,Ohio
4102,Caribbean University-Ponce,Ponce,PR
4103,Caribbean University-Vega Baja,Vega Baja,PR
4104,University of Advancing Technology,Tempe,Arizona
4105,Paradise Valley Community College,Phoenix,Arizona
4106,Chandler-Gilbert Community College,Chandler,Arizona
4107,HSHS St. John's Hospital School of Clinical Laboratory Science,Springfield,Illinois
4108,Madison Media Institute,Madison,Wisconsin
4109,Great Plains Technology Center,Lawton,Oklahoma
4110,Roane-Jackson Technical Center,Leroy,West_Virginia
4111,Pioneer Technology Center,Ponca City,Oklahoma
4112,Portage Lakes Career Center,Uniontown,Ohio
4113,Eastern College of Health Vocations-New Orleans,New Orleans,Louisiana
4114,Bell Mar Beauty College,Cicero,Illinois
4115,Caddo Kiowa Technology Center,Fort Cobb,Oklahoma
4116,Brightwood College-San Antonio-San Pedro,San Antonio,Texas
4117,Center for Instruction Technology & Innovation (CiTi),Mexico,New_York
4118,International School of Skin Nailcare & Massage Therapy,Atlanta,Georgia
4119,Palomar Institute of Cosmetology,San Marcos,California
4120,Southern Oklahoma Technology Center,Ardmore,Oklahoma
4121,Vista College,El Paso,Texas
4122,Autry Technology Center,Enid,Oklahoma
4123,Greene County Vocational School District,Xenia,Ohio
4124,Canadian Valley Technology Center,El Reno,Oklahoma
4125,Wilkes-Barre Area Career and Technical Center Practical Nursing,Wilkes Barre,Pennsylvania
4126,Mayo Clinic Graduate School of Biomedical Sciences,Rochester,Minnesota
4127,Meridian Technology Center,Stillwater,Oklahoma
4128,Waynesville Career Center,Waynesville,Missouri
4129,Capitol School of Hairstyling and Esthetics,Omaha,Nebraska
4130,Morris County Vocational School District,Denville,New_Jersey
4131,Ross Medical Education Center-Roosevelt Park,Roosevelt Park,Michigan
4132,Ross Medical Education Center-Kentwood,Kentwood,Michigan
4133,South Florida Bible College and Theological Seminary,Deerfield Beach,Florida
4134,Cloyd's Barber School 2 Inc,Monroe,Louisiana
4135,Universal Technical Institute of Illinois Inc,Lisle,Illinois
4136,Pennsylvania College of Technology,Williamsport,Pennsylvania
4137,Commonwealth Institute of Funeral Service,Houston,Texas
4138,Delta College of Arts & Technology,Baton Rouge,Louisiana
4139,InterCoast Colleges-Anaheim,Anaheim,California
4140,Stone Child College,Box Elder,Montana
4141,New York Academy of Art,New York,New_York
4142,Suffolk County Community College,Selden,New_York
4143,Las Positas College,Livermore,California
4144,Blades School of Hair Design,California,Maryland
4145,Ogeechee Technical College,Statesboro,Georgia
4146,Remington College-Mobile Campus,Mobile,Alabama
4147,Southern Technical College,Fort Myers,Florida
4148,Mercy-St Luke's School of Radiologic Technology,Cedar Rapids,Iowa
4149,Southwest Acupuncture College-Santa Fe,Santa Fe,New_Mexico
4150,Northwest Technology Center-Alva,Alva,Oklahoma
4151,Mercer County Career Center,Mercer,Pennsylvania
4152,California State University-San Marcos,San Marcos,California
4153,Argosy University-Hawaii,Honolulu,Hawaii
4154,Baptist Theological Seminary at Richmond,Henrico,Virginia
4155,Brightwood College-Modesto,Salida,California
4156,Purdue University Global-Des Moines,Urbandale,Iowa
4157,Hairmasters Institute of Cosmetology,Bloomington,Illinois
4158,Tricoci University of Beauty Cuture LLC-Bloomington,Bloomington,Indiana
4159,Interactive College of Technology-Newport,Newport,Kentucky
4160,Platt College-McCann-Monroe,Monroe,Louisiana
4161,Ross Medical Education Center-Taylor,Taylor,Michigan
4162,National Tractor Trailer School Inc-Liverpool,Liverpool,New_York
4163,Interactive College of Technology,Houston,Texas
4164,Butler Beauty Academy-New Castle Beauty Academy,New Castle,Pennsylvania
4165,NorthWest Arkansas Community College,Bentonville,Arkansas
4166,Brewster Technical College,Tampa,Florida
4167,Hodges University,Naples,Florida
4168,Argosy University-Atlanta,Atlanta,Georgia
4169,University of St. Augustine for Health Sciences,San Marcos,California
4170,Capital Area School of Practical Nursing,Springfield,Illinois
4171,Hair Professionals Career College,Palos Hills,Illinois
4172,Alexandria School of Scientific Therapeutics,Alexandria,Indiana
4173,Empire Beauty School-Bloomfield,Bloomfield,New_Jersey
4174,Southwest Technology Center,Altus,Oklahoma
4175,Western Area Career & Technology Center,Canonsburg,Pennsylvania
4176,Hussian College-Daymar College Clarksville,Clarksville,Tennessee
4177,Nossi College of Art,Madison,Tennessee
4178,Seguin Beauty School-New Braunfels,New Braunfels,Texas
4179,Pima Medical Institute-Seattle,Seattle,Washington
4180,Mineral County Vocational Technical Center,Keyser,West_Virginia
4181,Hypnosis Motivation Institute,Tarzana,California
4182,Los Angeles ORT College-Los Angeles Campus,Los Angeles,California
4183,Thanh Le College School of Cosmetology,Garden Grove,California
4184,Southeastern Technical College,Vidalia,Georgia
4185,Massachusetts School of Law,Andover,Massachusetts
4186,Community Services Division-Alliance City,Alliance,Ohio
4187,Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,Orlando,Florida
4188,Erwin Technical College,Tampa,Florida
4189,Rosel School of Cosmetology,Niles,Illinois
4190,Worsham College of Mortuary Science,Wheeling,Illinois
4191,Bryan University,Springfield,Missouri
4192,Oregon College of Oriental Medicine,Portland,Oregon
4193,Central Pennsylvania Institute of Science and Technology,Pleasant Gap,Pennsylvania
4194,Northwest Educational Center,Houston,Texas
4195,Sebring Career Schools-Houston,Houston,Texas
4196,PCI Health Training Center,Dallas,Texas
4197,Miami-Jacobs Career College-Columbus,Columbus,Ohio
4198,Bryant & Stratton College-Solon,Solon,Ohio
4199,Hamrick School,Medina,Ohio
4200,Alabama State College of Barber Styling,Gardendale,Alabama
4201,Fortis College,Mobile,Alabama
4202,Downey Adult School,Downey,California
4203,CRU Institute of Cosmetology and Barbering,Garden Grove,California
4204,Modern Technology School,Fountain Valley,California
4205,National Career Education,Citrus Heights,California
4206,Thuy Princess Beauty College,Pomona,California
4207,North-West College-Glendale,Glendale,California
4208,Fremont College,Cerritos,California
4209,Pomona Unified School District Adult and Career Education,Pomona,California
4210,Universal College of Beauty Inc-Los Angeles 2,Los Angeles,California
4211,IBMC College,Fort Collins,Colorado
4212,Xenon International Academy-Denver,Aurora,Colorado
4213,Academy of Cosmetology,Merritt Island,Florida
4214,Sunstate Academy,Clearwater,Florida
4215,Fortis College-Smyrna,Smyrna,Georgia
4216,Remington College-Honolulu Campus,Honolulu,Hawaii
4217,Vatterott College-Des Moines,Des Moines,Iowa
4218,Ross College-Quad Cities,Bettendorf,Iowa
4219,Pivot Point Academy,Bloomingdale,Illinois
4220,Blalock's Professional Beauty College,Shreveport,Louisiana
4221,Diesel Driving Academy-Baton Rouge,Baton Rouge,Louisiana
4222,New England Hair Academy,Malden,Massachusetts
4223,Rob Roy Academy-Worcester,Worcester,Massachusetts
4224,Upper Cape Cod Regional Technical School,Bourne,Massachusetts
4225,All-State Career-Baltimore,Baltimore,Maryland
4226,Adler Graduate School,Minnetonka,Minnesota
4227,Academy of Hair Design-Jackson,Jackson,Mississippi
4228,KC's School of Hair Design,Pontotoc,Mississippi
4229,Lincoln Technical Institute-Moorestown,Moorestown,New_Jersey
4230,Monmouth County Vocational School District,Freehold,New_Jersey
4231,Brightwood College-Las Vegas,Las Vegas,Nevada
4232,Beauty School of Middletown,Middletown,New_York
4233,Bryant & Stratton College-Southtowns,Orchard Park,New_York
4234,Continental School of Beauty Culture-Olean,Olean,New_York
4235,National Tractor Trailer School Inc-Buffalo,Buffalo,New_York
4236,Yeshiva Gedolah Imrei Yosef D'spinka,Brooklyn,New_York
4237,Cleveland Institute of Dental-Medical Assistants-Mentor,Mentor,Ohio
4238,Cleveland Institute of Dental-Medical Assistants-Lyndhurst,Lyndhurst,Ohio
4239,Knox County Career Center,Mount Vernon,Ohio
4240,Madison Adult Career Center,Mansfield,Ohio
4241,Remington College-Cleveland Campus,Cleveland,Ohio
4242,Brown Mackie College-Findlay,Findlay,Ohio
4243,Toledo Academy of Beauty Culture-East,OREGON,Ohio
4244,U S Grant Joint Vocational School,Bethel,Ohio
4245,Chisholm Trail Technology Center,Omega,Oklahoma
4246,Gordon Cooper Technology Center,Shawnee,Oklahoma
4247,Kiamichi Technology Center-Atoka,Atoka,Oklahoma
4248,Kiamichi Technology Center-Durant,Durant,Oklahoma
4249,Kiamichi Technology Center-Hugo,Hugo,Oklahoma
4250,Kiamichi Technology Center-McAlester,McAlester,Oklahoma
4251,Kiamichi Technology Center-Idabel,Idabel,Oklahoma
4252,Kiamichi Technology Center-Poteau,Poteau,Oklahoma
4253,Kiamichi Technology Center-Spiro,Spiro,Oklahoma
4254,Kiamichi Technology Centers-Talihina Campus,Talihina,Oklahoma
4255,YTI Career Institute-Altoona,Altoona,Pennsylvania
4256,Eastern Center for Arts and Technology,Willow Grove,Pennsylvania
4257,Empire Beauty School-Center City Philadelphia,Philadelphia,Pennsylvania
4258,CEM College-Humacao,Humacao,PR
4259,Colegio Mayor de Tecnologia Inc,Arroyo,PR
4260,Institucion Chaviano de Mayaguez,Mayaguez,PR
4261,EDIC College,Caguas,PR
4262,Liceo de Arte-Dise-O y Comercio,Caguas,PR
4263,Universal Technology College of Puerto Rico,Aguadilla,PR
4264,Academy of Hair Technology,Greenville,South_Carolina
4265,Mr Wayne's School of Unisex Hair Design,Cookeville,Tennessee
4266,Queen City College,Clarksville,Tennessee
4267,College of the Marshall Islands,Majuro,MH
4268,Remington College-Fort Worth Campus,Fort Worth,Texas
4269,UCAS University of Cosmetology Arts & Sciences,San Antonio,Texas
4270,School of Automotive Machinists & Technology,Houston,Texas
4271,SW School of Business and Technical Careers-Cosmetology,San Antonio,Texas
4272,SW School of Business and Technical Careers,Eagle Pass,Texas
4273,Texas College of Cosmetology-Abilene,Abilene,Texas
4274,Vista College-Online,Richardson,Texas
4275,Centura College-Newport News,Newport News,Virginia
4276,Centura College-Norfolk,Norfolk,Virginia
4277,Virginia Beach City Public Schools School of Practical Nursing,Virginia Beach,Virginia
4278,Northwest College of Art & Design,Tacoma,Washington
4279,University of Washington-Bothell Campus,Bothell,Washington
4280,University of Washington-Tacoma Campus,Tacoma,Washington
4281,Valley College-Beckley,Beckley,West_Virginia
4282,Valley College-Martinsburg,Martinsburg,West_Virginia
4283,Valley College-Princeton,Princeton,West_Virginia
4284,Bellus Academy-Poway,Poway,California
4285,Capstone College,Pasadena,California
4286,Central Coast College,Salinas,California
4287,Pacific College of Oriental Medicine-San Diego,San Diego,California
4288,Artistic Nails and Beauty Academy-Tampa,Tampa,Florida
4289,National Aviation Academy of Tampa Bay,Clearwater,Florida
4290,Madison Oneida BOCES-Practical Nursing Program,Verona,New_York
4291,Astrodome Career Centers,Houston,Texas
4292,Center for Advanced Legal Studies,Houston,Texas
4293,Houston Training School-Main Campus,Houston,Texas
4294,Bay Mills Community College,Brimley,Michigan
4295,Fond du Lac Tribal and Community College,Cloquet,Minnesota
4296,Northwest Indian College,Bellingham,Washington
4297,Provo College,Provo,Utah
4298,Paul Mitchell the School-Provo,Provo,Utah
4299,University of Phoenix-Utah,Salt Lake City,Utah
4300,Cortiva Institute-Salt Lake,Salt Lake City,Utah
4301,CET-Coachella,Coachella,California
4302,CET-Oxnard,Oxnard,California
4303,CET-Santa Maria,Santa Maria,California
4304,Colorado School of Traditional Chinese Medicine,Denver,Colorado
4305,Massage Therapy Institute of Colorado,Denver,Colorado
4306,Michigan College of Beauty-Troy,Troy,Michigan
4307,Ogle School Hair Skin Nails-Dallas,Dallas,Texas
4308,Phoenix Seminary,Scottsdale,Arizona
4309,Faust Institute of Cosmetology-Spirit Lake,Spirit Lake,Iowa
4310,Cheeks Beauty Academy,Loveland,Colorado
4311,Colorado School of Healing Arts,Lakewood,Colorado
4312,Healing Arts Institute,Fort Collins,Colorado
4313,Los Angeles ORT College-Van Nuys Campus,Van Nuys,California
4314,University of Phoenix-Puerto Rico,Guaynabo,PR
4315,Mt. Diablo Adult Education-Mt. Diablo USD,Concord,California
4316,Royale College of Beauty and Barbering,Temecula,California
4317,Greater Lowell Technical School,Tyngsboro,Massachusetts
4318,Academy of Hair Design-Pearl,Pearl,Mississippi
4319,King's College,Charlotte,North_Carolina
4320,Miller-Motte Technical College-Clarksville,Clarksville,Tennessee
4321,Genesis Career College-Lebanon,Lebanon,Tennessee
4322,Brightwood College-Dallas,Dallas,Texas
4323,Star College of Cosmetology 2,Tyler,Texas
4324,Southwest Collegiate Institute for the Deaf,Big Spring,Texas
4325,Fortis College-Richmond,Richmond,Virginia
4326,Midwest College of Oriental Medicine-Racine,Racine,Wisconsin
4327,Hacienda La Puente Adult Education,La Puente,California
4328,La Belle Beauty Academy,Miami,Florida
4329,Advanced Technical Centers,Miami,Florida
4330,Hawaii Community College,Hilo,Hawaii
4331,Robert Fiance Beauty Schools-North Plainfield,North Plainfield,New_Jersey
4332,Long Island Beauty School-Hauppauge,Hauppauge,New_York
4333,Buckeye Joint Vocational School,New Philadelphia,Ohio
4334,Sandusky Career Center,Sandusky,Ohio
4335,Greater Altoona Career & Technology Center,Altoona,Pennsylvania
4336,Central Texas Beauty College-Temple,Temple,Texas
4337,Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,Angola,New_York
4338,Empire Beauty School-Brooklyn,Brooklyn,New_York
4339,Houston Training School-Gulfgate,Houston,Texas
4340,Antonelli College-Hattiesburg,Hattiesburg,Mississippi
4341,Eastern New Mexico University Ruidoso Branch Community College,Ruidoso,New_Mexico
4342,United Education Institute-Ontario,Ontario,California
4343,United Education Institute-Encino,Encino,California
4344,Beacon College,Leesburg,Florida
4345,Acupuncture and Integrative Medicine College-Berkeley,Berkeley,California
4346,Estrella Mountain Community College,Avondale,Arizona
4347,Heartland Community College,Normal,Illinois
4348,University of the Potomac-Washington DC Campus,Washington,DC
4349,Rabbi Jacob Joseph School,Edison,New_Jersey
4350,The Salon Professional Academy-Melbourne,Melbourne,Florida
4351,Fortis Institute-Scranton,Scranton,Pennsylvania
4352,Milan Institute of Cosmetology,Reno,Nevada
4353,Everglades University,Boca Raton,Florida
4354,Seminar L'moros Bais Yaakov,Brooklyn,New_York
4355,Herzing University-Winter Park,Winter Park,Florida
4356,Fairview Beauty Academy,Fairview Park,Ohio
4357,Cortiva Institute-Pompano,Pompano Beach,Florida
4358,National College-Nashville,Nashville,Tennessee
4359,College of Biblical Studies-Houston,Houston,Texas
4360,Inner State Beauty School,Lyndhurst,Ohio
4361,Virginia College-Pensacola,Pensacola,Florida
4362,Mid-EastCTC-Adult Education,Zanesville,Ohio
4363,Everest University-South Orlando,Tampa,Florida
4364,Polaris Career Center,Middleburg Heights,Ohio
4365,P&A Scholars Beauty School,Detroit,Michigan
4366,ASM Beauty World Academy,Hollywood,Florida
4367,Sharps Academy of Hair Styling,Grand Blanc,Michigan
4368,The College of Health Care Professions-Northwest,Houston,Texas
4369,School of Professional Horticulture New York Botanical Garden,Bronx,New_York
4370,Fortis College,Houston,Texas
4371,Watkins College of Art Design & Film,Nashville,Tennessee
4372,Alhambra Beauty College,Alhambra,California
4373,UEI College-Gardena,Gardena,California
4374,Asian-American International Beauty College,Westminster,California
4375,Copper Mountain Community College,Joshua Tree,California
4376,Diversified Vocational College,Los Angeles,California
4377,UEI College-Fresno,Fresno,California
4378,Mt Sierra College,Monrovia,California
4379,Santiago Canyon College,Orange,California
4380,Southern California Institute of Technology,Anaheim,California
4381,Soka University of America,Aliso Viejo,California
4382,Summit College,Colton,California
4383,Advance Beauty College,Garden Grove,California
4384,World Mission University,Los Angeles,California
4385,Yo San University of Traditional Chinese Medicine,Los Angeles,California
4386,Cannella School of Hair Design-Blue Island,Blue Island,Illinois
4387,John Amico School of Hair Design,Oak Forest,Illinois
4388,Delta College Inc,Covington,Louisiana
4389,Southwest University of Visual Arts-Albuquerque,Albuquerque,New_Mexico
4390,Tri-State Cosmetology Institute,El Paso,Texas
4391,Frontier Community College,Fairfield,Illinois
4392,Lincoln Trail College,Robinson,Illinois
4393,Wabash Valley College,Mount Carmel,Illinois
4394,American Institute of Interior Design,Fountain Hills,Arizona
4395,Brookline College-Tempe,Tempe,Arizona
4396,Inter American University of Puerto Rico-School of Optometry,Bayamon,PR
4397,Schiller International University,Largo,Florida
4398,Vatterott College-Springfield,Springfield,Missouri
4399,Vatterott College-Joplin,Joplin,Missouri
4400,Vatterott College-Kansas City,Kansas City,Missouri
4401,Coconino Community College,Flagstaff,Arizona
4402,Emma's Beauty Academy-Juana Diaz,Juana Diaz,PR
4403,Franklin Academy,Cleveland,Tennessee
4404,Columbia Central University-Yauco,Yauco,PR
4405,Pima Medical Institute-Denver,Denver,Colorado
4406,ASA College,Brooklyn,New_York
4407,Ohio State School of Cosmetology-Heath,Heath,Ohio
4408,Ohio State School of Cosmetology,Marion,Ohio
4409,Yeshivas Novominsk,Brooklyn,New_York
4410,Southern Careers Institute-Corpus Christi,Corpus Christi,Texas
4411,Kiamichi Technology Center-Stigler,Stigler,Oklahoma
4412,Rabbinical College of Ohr Shimon Yisroel,Brooklyn,New_York
4413,Carroll Community College,Westminster,Maryland
4414,University of Phoenix-New Mexico,Albuquerque,New_Mexico
4415,Galen College of Nursing-Tampa Bay,Saint Petersburg,Florida
4416,Galen College of Nursing-San Antonio,San Antonio,Texas
4417,Sarasota School of Massage Therapy,Sarasota,Florida
4418,Schuyler Steuben Chemung Tioga Allegany BOCES,Elmira,New_York
4419,DCI Career Institute,Monaca,Pennsylvania
4420,Central Susquehanna Intermediate Unit LPN Career,Lewisburg,Pennsylvania
4421,Myotherapy College of Utah,Salt Lake City,Utah
4422,Graham Webb International Academy of Hair,Arlington,Virginia
4423,City College-Gainesville,Gainesville,Florida
4424,Arizona State University-West,Glendale,Arizona
4425,Cortiva Institute-Westport,Westport,Connecticut
4426,G Skin & Beauty Institute,Oakbrook,Illinois
4427,Cosmetology Training Center,Lafayette,Louisiana
4428,Stage One-The Hair School,Lake Charles,Louisiana
4429,Empire Beauty School-Malden,Malden,Massachusetts
4430,Omaha School of Massage and Healthcare of Herzing University,Omaha,Nebraska
4431,Xenon International Academy-Omaha,Omaha,Nebraska
4432,Capri Institute of Hair Design-Brick,Brick,New_Jersey
4433,Capri Institute of Hair Design-Kenilworth,Kenilworth,New_Jersey
4434,Capri Institute of Hair Design-Paramus,Paramus,New_Jersey
4435,Orlo School of Hair Design and Cosmetology,Albany,New_York
4436,Eastland-Fairfield Career and Technical Schools,Groveport,Ohio
4437,Empire Beauty School-Cincinnati,Cincinnati,Ohio
4438,Mahoning County Career and Technical Center,Canfield,Ohio
4439,Pickaway Ross Joint Vocational School District,Chillicothe,Ohio
4440,Pioneer Career and Technology Center,Shelby,Ohio
4441,Raphael's School of Beauty Culture Inc-Boardman,Boardman,Ohio
4442,Scioto County Career Technical Center,Lucasville,Ohio
4443,Trumbull Career & Technical Center,Warren,Ohio
4444,Northwest Technology Center-Fairview,Fairview,Oklahoma
4445,Pacific Bible College,Medford,Oregon
4446,Lake Erie College of Osteopathic Medicine,Erie,Pennsylvania
4447,UCAS University of Cosmetology Arts & Sciences-Harlingen,Harlingen,Texas
4448,Gene Juarez Academy of Beauty-Federal Way,Federal Way,Washington
4449,Empire Beauty School-Green Bay,Ashwaubenon,Wisconsin
4450,Warren County Career Center,Lebanon,Ohio
4451,Brown Mackie College-Fort Wayne,Fort Wayne,Indiana
4452,Paul Mitchell the School-Wichita,Wichita,Kansas
4453,Pinnacle Institute of Cosmetology,Mooresville,North_Carolina
4454,Southern Careers Institute-Pharr,Pharr,Texas
4455,Laurel Technical Institute,MEADVILLE,Pennsylvania
4456,Florida National University-Main Campus,Hialeah,Florida
4457,Georgia Institute of Cosmetology,Athens,Georgia
4458,Nouvelle Institute,Miami,Florida
4459,Franklin Technology-MSSU,Joplin,Missouri
4460,Professional Technical Institution Inc,Bayamon,PR
4461,Erikson Institute,Chicago,Illinois
4462,South Texas College,McAllen,Texas
4463,Pike County Joint Vocational School District,Piketon,Ohio
4464,Lorain County Joint Vocational School District,Oberlin,Ohio
4465,Roger Williams University School of Law,Bristol,Rhode_Island
4466,California State University-Monterey Bay,Seaside,California
4467,Brown Mackie College-Atlanta,Atlanta,Georgia
4468,Bryant & Stratton College-Henrietta,Rochester,New_York
4469,Argosy University-The Art Institute of California-Hollywood,North Hollywood,California
4470,Ohio Media School-Valley View,Valley View,Ohio
4471,EINE Inc,Tewksbury,Massachusetts
4472,Marian Health Careers Center-Los Angeles Campus,Los Angeles,California
4473,Cleveland Clinic Health System-School of Diagnostic Imaging,Euclid,Ohio
4474,Academy for Nursing and Health Occupations,West Palm Beach,Florida
4475,Shawsheen Valley School of Practical Nursing,Billerica,Massachusetts
4476,Shear Ego International School of Hair Design,Rochester,New_York
4477,Remington College-Memphis Campus,Memphis,Tennessee
4478,Fayette Institute of Technology,Oak Hill,West_Virginia
4479,Professional Beauty School,Yakima,Washington
4480,Capella University,Minneapolis,Minnesota
4481,College of Menominee Nation,Keshena,Wisconsin
4482,Leech Lake Tribal College,Cass Lake,Minnesota
4483,Spartan College of Aeronautics & Technology,Inglewood,California
4484,Stone Academy-Waterbury,Waterbury,Connecticut
4485,East San Gabriel Valley Regional Occupational Program,West Covina,California
4486,Yukon Beauty College Inc,Yukon,Oklahoma
4487,United Education Institute-Morrow,Morrow,Georgia
4488,Toni & Guy Hairdressing Academy-Atlanta,Marietta,Georgia
4489,Mitchell's Hair Styling Academy-Raleigh,Raleigh,North_Carolina
4490,Artistic Academy of Hair Design,Morris Plains,New_Jersey
4491,Motoring Technical Training Institute,Seekonk,Massachusetts
4492,Mech-Tech College,Caguas,PR
4493,Baldwin Beauty School-North Austin,Austin,Texas
4494,Jean Madeline Aveda Institute,Philadelphia,Pennsylvania
4495,Pacific College of Oriental Medicine-New York,New York,New_York
4496,Johnson & Wales University-North Miami,North Miami,Florida
4497,Tricoci University of Beauty Culture-Indianapolis,Indianapolis,Indiana
4498,Trine University-Regional/Non-Traditional Campuses,Fort Wayne,Indiana
4499,Pennsylvania Highlands Community College,Johnstown,Pennsylvania
4500,Nevada Career Institute,Las Vegas,Nevada
4501,Phillips Theological Seminary,Tulsa,Oklahoma
4502,Empire Beauty School-Hanover,Hanover,Pennsylvania
4503,Industrial Management Training Institute,Waterbury,Connecticut
4504,Faris Technical Institute Inc,Nederland,Texas
4505,Allen School-Jamaica,Jamaica,New_York
4506,Premiere Career College,Irwindale,California
4507,Tennessee Academy of Cosmetology-Stage Road,Memphis,Tennessee
4508,The University of Texas MD Anderson Cancer Center,Houston,Texas
4509,Paul Mitchell the School-Huntsville,Madison,Alabama
4510,Estes Institute of Cosmetology Arts and Science,Visalia,California
4511,Baldwin Park Adult & Community Education,Baldwin Park,California
4512,Ventura Adult and Continuing Education,Ventura,California
4513,Howell Cheney THS/CT Aero Tech School,Hartford,Connecticut
4514,College of Business and Technology-Miami Campus,Miami,Florida
4515,City College-Altamonte Springs,Altamonte Springs,Florida
4516,Empire Beauty School-Dunwoody,Dunwoody,Georgia
4517,Cobb Beauty College Inc,Kennesaw,Georgia
4518,Career Center of Southern Illinois,Red Bud,Illinois
4519,Crave Beauty Academy,Wichita,Kansas
4520,Camelot College,Baton Rouge,Louisiana
4521,Hastings Beauty School,Hastings,Minnesota
4522,Kirksville Area Technical Center,Kirksville,Missouri
4523,South Central Career Center,West Plains,Missouri
4524,Saline County Career Center,Marshall,Missouri
4525,Warrensburg Area Career Center,Warrensburg,Missouri
4526,Nevada Regional Technical Center,Nevada,Missouri
4527,Cass Career Center,Harrisonville,Missouri
4528,Applied Technology Services,Sunset Hills,Missouri
4529,Central College of Cosmetology,Saint Robert,Missouri
4530,Southeast Missouri Hospital College of Nursing and Health Sciences,Cape Girardeau,Missouri
4531,Messenger College,Bedford,Texas
4532,Tennessee Academy of Cosmetology-Shelby Drive,Memphis,Tennessee
4533,Durham Beauty Academy,Durham,North_Carolina
4534,Union County Vocational Technical School,Scotch Plains,New_Jersey
4535,Prism Career Institute-Philadelphia,Philadelphia,Pennsylvania
4536,Clinton Essex Warren Washington BOCES,Plattsburgh,New_York
4537,Jefferson Lewis BOCES-Practical Nursing Program,Watertown,New_York
4538,Veeb Nassau County School of Practical Nursing,Hicksville,New_York
4539,Cattaraugus Allegany BOCES-Practical Nursing Program,Olean,New_York
4540,Orange Ulster BOCES-Practical Nursing Program,Goshen,New_York
4541,Wayne Finger Lakes BOCES-Practical Nursing Program,Newark,New_York
4542,Broome Delaware Tioga BOCES-Practical Nursing Program,Binghamton,New_York
